[0]/usr/bin/python carre
[0]   SHA_DEPOT_GIREF    : 6c31e4d1576593f6a0175ebe6cf14a689554b10d
[0]   STATUS_DEPOT_GIREF : 
[0]   SHA_DEPOT_TV       : 071f3002f480adf5c456f2bde2e4ca3be8f903de
[0]
[0]Temps de profiling "usager"
[0] Total    sec(WC) s(SelfUser) s(SelfSys) s(ChildUser) s(ChildSys) (VmSizeDiff , VmRSSDiff, VmDataDiff) nbApls      Etiquette
[0] Total      0.0001     0.0001     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Solveur(ProbDida)_:98x98).
[0] Total      0.0067     0.0046     0.0021      0.0000      0.0000        0 KB         0 KB         0 KB  301 x     SolveurLinPETSc::resoudre::PPre:ProbDida.
[0] Total      0.4316     0.3285     0.0993      0.0000      0.0000        0 KB       552 KB         0 KB  301 x     SolveurLinPETSc::resoudre::ass:ProbDida.
[0] Total      0.0175     0.0119     0.0054      0.0000      0.0000        0 KB         0 KB         0 KB  601 x      SolveurLinPETSc::faisAssemblagePrive::appliqueChamp:ProbDida.
[0] Total      0.0199     0.0128     0.0069      0.0000      0.0000        0 KB         0 KB         0 KB  601 x      SolveurLinPETSc::faisAssemblagePrive::debutAssemblage:ProbDida.
[0] Total      0.6376     0.5040     0.1275      0.0000      0.0000        0 KB       292 KB         0 KB  601 x      SolveurLinPETSc::faisAssemblagePrive::assembleMatriceEtResidu:ProbDida.
[0] Total      0.6121     0.4858     0.1206      0.0000      0.0000        0 KB       292 KB         0 KB  601 x       ProblemeEF::assemblePrive(Total):ProbDida.
[0] Total      0.5878     0.4683     0.1140      0.0000      0.0000        0 KB       292 KB         0 KB  601 x        ProblemeEF::assemblePrive(Domaine):ProbDida.
[0] Total      0.5595     0.4481     0.1061      0.0000      0.0000        0 KB       292 KB         0 KB  601 x         AssembleurEF::assembleElementBis():ProbDida[aAssembleurEF].
[0] Total      0.0159     0.0098     0.0059      0.0000      0.0000        0 KB         0 KB         0 KB  601 x          AssembleurEF::prepareAvantAssemblage(assembleElementBis):ProbDida[aAssembleurEF].
[0] Total      0.0201     0.0169     0.0029      0.0000      0.0000        0 KB         0 KB         0 KB  601 x          AssembleurEF::nettoieApresAssemblage(assembleElementBis):ProbDida[aAssembleurEF].
[0] Total      0.0396     0.0314     0.0082      0.0000      0.0000        0 KB        64 KB         0 KB  601 x      SolveurLinPETSc::faisAssemblagePrive::appliqueMatrice:ProbDida.
[0] Total      0.0585     0.0456     0.0127      0.0000      0.0000        0 KB       196 KB         0 KB  601 x      SolveurLinPETSc::faisAssemblagePrive::appliqueResidu:ProbDida.
[0] Total      0.0259     0.0197     0.0061      0.0000      0.0000        0 KB         0 KB         0 KB  601 x      SolveurLinPETSc::faisAssemblagePrive::finAssemblageProbDida.
[0] Total      0.5939     0.4765     0.1115      0.0000      0.0000     2436 KB      5592 KB      2436 KB  301 x     SolveurLinPETSc::resoudre::resoudre:ProbDida.
[0] Total      0.5474     0.4411     0.1010      0.0000      0.0000     2436 KB      5592 KB      2436 KB  301 x      SolveurLinPETSc::resoudre_Factorisation_et_DR:ProbDida.
[0] Total      0.0106     0.0075     0.0031      0.0000      0.0000        0 KB       256 KB         0 KB  301 x       asgnOperateurKSP.
[0] Total      0.3829     0.3052     0.0745      0.0000      0.0000      304 KB      4500 KB       304 KB  301 x       SolveurLinPETSc::resoudre:KSPSetUp:ProbDida.
[0] Total      0.1095     0.0938     0.0151      0.0000      0.0000     2132 KB       836 KB      2132 KB  301 x       SolveurLinPETSc::resoudre:KSPSolve:ProbDida.
[0] Total      0.0062     0.0048     0.0013      0.0000      0.0000        0 KB         0 KB         0 KB  301 x      SolveurLinPETSc::CL+VecDDLs:ProbDida.
[0] Total      0.0148     0.0112     0.0033      0.0000      0.0000        0 KB         0 KB         0 KB  301 x      SolveurLinPETSc::appliqueCorrectionAuProbleme:ProbDida.
[0] Total      1.8404     0.6748     0.1299      0.0000      0.0000        0 KB       296 KB         0 KB  301 x     SolveurLinPETSc::resoudre::PPost:ProbDida.
[0] Total      1.8243     0.6631     0.1256      0.0000      0.0000        0 KB       296 KB         0 KB  301 x      GestionPrePostTraitement::executePrePostTrait:GESTIONPREPOSTDEFAUT:FinPasDeTemps::exportation_TK.
[0] Total      1.7776     0.6280     0.1151      0.0000      0.0000        0 KB       296 KB         0 KB  301 x       PP::exportation_TK::preCalcul.
[0] Total      0.0111     0.0084     0.0026      0.0000      0.0000        0 KB         0 KB         0 KB  301 x       PP::exportation_TK::postCalcul.
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::lPPResoud_0_dans_section_actions_pour_solveur_Solveur(ProbDida)::postCalcul.
[0] Total      0.0151     0.0093     0.0056      0.0000      0.0000        0 KB       128 KB         0 KB  301 x   PP::pp_copie_T_imp::preCalcul.
[0] Total      0.0069     0.0042     0.0027      0.0000      0.0000        0 KB         0 KB         0 KB  301 x   PP::pp_copie_T_imp::postCalcul.
[0] Total      0.0001     0.0000     0.0001      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::pp_copie_X_elem::preCalcul.
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::pp_copie_X_elem::postCalcul.
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::pp_copie_Y_elem::preCalcul.
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::pp_copie_Y_elem::postCalcul.
[0] Total      0.0261     0.0174     0.0081      0.0000      0.0000        0 KB         0 KB         0 KB  300 x   PP::pp_import_K::preCalcul.
[0] Total      0.0063     0.0042     0.0020      0.0000      0.0000        0 KB         0 KB         0 KB  300 x   PP::pp_import_K::postCalcul.
[0] Total      0.4781     0.3761     0.0977      0.0000      0.0000        0 KB         0 KB         0 KB  300 x   PP::ppAssMatEtRes::preCalcul.
[0] Total      0.0063     0.0048     0.0015      0.0000      0.0000        0 KB         0 KB         0 KB  300 x   PP::ppAssMatEtRes::postCalcul.
